[14:58:41] INFO — Fetching document list from B3 API...
[14:58:43] INFO — Total documents: 227,080
[14:58:44] INFO —   Fetched 200 / 227,080
[14:58:46] INFO —   Fetched 300 / 227,080
[14:58:48] INFO —   Fetched 400 / 227,080
[14:58:49] INFO —   Fetched 500 / 227,080
[14:58:51] INFO —   Fetched 600 / 227,080
[14:58:52] INFO —   Fetched 700 / 227,080
[14:58:54] INFO —   Fetched 800 / 227,080
[14:58:55] INFO —   Fetched 900 / 227,080
[14:58:57] INFO —   Fetched 1,000 / 227,080
[14:58:58] INFO —   Fetched 1,100 / 227,080
[14:59:00] INFO —   Fetched 1,200 / 227,080
[14:59:02] INFO —   Fetched 1,300 / 227,080
[14:59:03] INFO —   Fetched 1,400 / 227,080
[14:59:05] INFO —   Fetched 1,500 / 227,080
[14:59:06] INFO —   Fetched 1,600 / 227,080
[14:59:08] INFO —   Fetched 1,700 / 227,080
[14:59:09] INFO —   Fetched 1,800 / 227,080
[14:59:11] INFO —   Fetched 1,900 / 227,080
[14:59:12] INFO —   Fetched 2,000 / 227,080
[14:59:15] INFO —   Fetched 2,100 / 227,080
[14:59:17] INFO —   Fetched 2,200 / 227,080
[14:59:19] INFO —   Fetched 2,300 / 227,080
[14:59:20] INFO —   Fetched 2,400 / 227,080
[14:59:22] INFO —   Fetched 2,500 / 227,080
[14:59:23] INFO —   Fetched 2,600 / 227,080
[14:59:25] INFO —   Fetched 2,700 / 227,080
[14:59:27] INFO —   Fetched 2,800 / 227,080
[14:59:28] INFO —   Fetched 2,900 / 227,080
[14:59:30] INFO —   Fetched 3,000 / 227,080
[14:59:31] INFO —   Fetched 3,100 / 227,080
[14:59:33] INFO —   Fetched 3,200 / 227,080
[14:59:34] INFO —   Fetched 3,300 / 227,080
[14:59:36] INFO —   Fetched 3,400 / 227,080
[14:59:37] INFO —   Fetched 3,500 / 227,080
[14:59:39] INFO —   Fetched 3,600 / 227,080
[14:59:41] INFO —   Fetched 3,700 / 227,080
[14:59:42] INFO —   Fetched 3,800 / 227,080
[14:59:44] INFO —   Fetched 3,900 / 227,080
[14:59:45] INFO —   Fetched 4,000 / 227,080
[14:59:47] INFO —   Fetched 4,100 / 227,080
[14:59:48] INFO —   Fetched 4,200 / 227,080
[14:59:50] INFO —   Fetched 4,300 / 227,080
[14:59:51] INFO —   Fetched 4,400 / 227,080
[14:59:53] INFO —   Fetched 4,500 / 227,080
[14:59:54] INFO —   Fetched 4,600 / 227,080
[14:59:56] INFO —   Fetched 4,700 / 227,080
[14:59:57] INFO —   Fetched 4,800 / 227,080
[14:59:59] INFO —   Fetched 4,900 / 227,080
[15:00:01] INFO —   Fetched 5,000 / 227,080
[15:00:02] INFO —   Fetched 5,100 / 227,080
[15:00:04] INFO —   Fetched 5,200 / 227,080
[15:00:05] INFO —   Fetched 5,300 / 227,080
[15:00:07] INFO —   Fetched 5,400 / 227,080
[15:00:08] INFO —   Fetched 5,500 / 227,080
[15:00:10] INFO —   Fetched 5,600 / 227,080
[15:00:11] INFO —   Fetched 5,700 / 227,080
[15:00:13] INFO —   Fetched 5,800 / 227,080
[15:00:14] INFO —   Fetched 5,900 / 227,080
[15:00:16] INFO —   Fetched 6,000 / 227,080
[15:00:18] INFO —   Fetched 6,100 / 227,080
[15:00:19] INFO —   Fetched 6,200 / 227,080
[15:00:21] INFO —   Fetched 6,300 / 227,080
[15:00:22] INFO —   Fetched 6,400 / 227,080
[15:00:24] INFO —   Fetched 6,500 / 227,080
[15:00:25] INFO —   Fetched 6,600 / 227,080
[15:00:27] INFO —   Fetched 6,700 / 227,080
[15:00:28] INFO —   Fetched 6,800 / 227,080
[15:00:30] INFO —   Fetched 6,900 / 227,080
[15:00:32] INFO —   Fetched 7,000 / 227,080
[15:00:33] INFO —   Fetched 7,100 / 227,080
[15:00:35] INFO —   Fetched 7,200 / 227,080
[15:00:36] INFO —   Fetched 7,300 / 227,080
[15:00:38] INFO —   Fetched 7,400 / 227,080
[15:00:39] INFO —   Fetched 7,500 / 227,080
[15:00:41] INFO —   Fetched 7,600 / 227,080
[15:00:42] INFO —   Fetched 7,700 / 227,080
[15:00:44] INFO —   Fetched 7,800 / 227,080
[15:00:46] INFO —   Fetched 7,900 / 227,080
[15:00:47] INFO —   Fetched 8,000 / 227,080
[15:00:49] INFO —   Fetched 8,100 / 227,080
[15:00:50] INFO —   Fetched 8,200 / 227,080
[15:00:52] INFO —   Fetched 8,300 / 227,080
[15:00:53] INFO —   Fetched 8,400 / 227,080
[15:00:55] INFO —   Fetched 8,500 / 227,080
[15:00:56] INFO —   Fetched 8,600 / 227,080
[15:00:58] INFO —   Fetched 8,700 / 227,080
[15:01:00] INFO —   Fetched 8,800 / 227,080
[15:01:01] INFO —   Fetched 8,900 / 227,080
[15:01:03] INFO —   Fetched 9,000 / 227,080
[15:01:04] INFO —   Fetched 9,100 / 227,080
[15:01:06] INFO —   Fetched 9,200 / 227,080
[15:01:07] INFO —   Fetched 9,300 / 227,080
[15:01:09] INFO —   Fetched 9,400 / 227,080
[15:01:11] INFO —   Fetched 9,500 / 227,080
[15:01:12] INFO —   Fetched 9,600 / 227,080
[15:01:14] INFO —   Fetched 9,700 / 227,080
[15:01:15] INFO —   Fetched 9,800 / 227,080
[15:01:17] INFO —   Fetched 9,900 / 227,080
[15:01:18] INFO —   Fetched 10,000 / 227,080
[15:01:20] INFO —   Fetched 10,100 / 227,080
[15:01:21] INFO —   Fetched 10,200 / 227,080
[15:01:23] INFO —   Fetched 10,300 / 227,080
[15:01:25] INFO —   Fetched 10,400 / 227,080
[15:01:26] INFO —   Fetched 10,500 / 227,080
[15:01:28] INFO —   Fetched 10,600 / 227,080
[15:01:29] INFO —   Fetched 10,700 / 227,080
[15:01:31] INFO —   Fetched 10,800 / 227,080
[15:01:32] INFO —   Fetched 10,900 / 227,080
[15:01:34] INFO —   Fetched 11,000 / 227,080
[15:01:36] INFO —   Fetched 11,100 / 227,080
[15:01:37] INFO —   Fetched 11,200 / 227,080
[15:01:39] INFO —   Fetched 11,300 / 227,080
[15:01:40] INFO —   Fetched 11,400 / 227,080
[15:01:44] INFO —   Fetched 11,500 / 227,080
[15:01:46] INFO —   Fetched 11,600 / 227,080
[15:01:47] INFO —   Fetched 11,700 / 227,080
[15:01:49] INFO —   Fetched 11,800 / 227,080
[15:01:51] INFO —   Fetched 11,900 / 227,080
[15:01:52] INFO —   Fetched 12,000 / 227,080
[15:01:54] INFO —   Fetched 12,100 / 227,080
[15:01:56] INFO —   Fetched 12,200 / 227,080
[15:01:58] INFO —   Fetched 12,300 / 227,080
[15:01:59] INFO —   Fetched 12,400 / 227,080
[15:02:01] INFO —   Fetched 12,500 / 227,080
[15:02:03] INFO —   Fetched 12,600 / 227,080
[15:02:05] INFO —   Fetched 12,700 / 227,080
[15:02:07] INFO —   Fetched 12,800 / 227,080
[15:02:08] INFO —   Fetched 12,900 / 227,080
[15:02:10] INFO —   Fetched 13,000 / 227,080
[15:02:12] INFO —   Fetched 13,100 / 227,080
[15:02:14] INFO —   Fetched 13,200 / 227,080
[15:02:15] INFO —   Fetched 13,300 / 227,080
[15:02:17] INFO —   Fetched 13,400 / 227,080
[15:02:18] INFO —   Fetched 13,500 / 227,080
[15:02:20] INFO —   Fetched 13,600 / 227,080
[15:02:21] INFO —   Fetched 13,700 / 227,080
[15:02:23] INFO —   Fetched 13,800 / 227,080
[15:02:25] INFO —   Fetched 13,900 / 227,080
[15:02:26] INFO —   Fetched 14,000 / 227,080
[15:02:28] INFO —   Fetched 14,100 / 227,080
[15:02:29] INFO —   Fetched 14,200 / 227,080
[15:02:31] INFO —   Fetched 14,300 / 227,080
[15:02:32] INFO —   Fetched 14,400 / 227,080
[15:02:34] INFO —   Fetched 14,500 / 227,080
[15:02:36] INFO —   Fetched 14,600 / 227,080
[15:02:37] INFO —   Fetched 14,700 / 227,080
[15:02:39] INFO —   Fetched 14,800 / 227,080
[15:02:40] INFO —   Fetched 14,900 / 227,080
[15:02:42] INFO —   Fetched 15,000 / 227,080
[15:02:43] INFO —   Fetched 15,100 / 227,080
[15:02:45] INFO —   Fetched 15,200 / 227,080
